  Elapsed (sec)    Frequency (MHz)    Usage (%)    Core0:Usage (%)    Core1:Usage (%)    Core2:Usage (%)    Core3:Usage (%)    Core4:Usage (%)    Core5:Usage (%)    Core6:Usage (%)    Core7:Usage (%)  Event
          14.21               2900        66.30              91.70              38.50              92.30              46.20              92.90              38.50              84.60              42.90  -
          14.34               2900        67.70             100.00              41.70              92.30              46.20             100.00              33.30              92.30              36.40  -
          14.46               2900        64.60              92.30              46.20              90.90              41.70              84.60              41.70              83.30              38.50  -
          14.59               2900        70.30              91.70              46.20              92.30              53.80              91.70              46.20              84.60              53.80  -
          14.71               2900        66.00              91.70              46.20              85.70              41.70              92.30              50.00              84.60              38.50  -
          14.84               2900        66.70              92.30              41.70              91.70              38.50              84.60              46.20              91.70              41.70  -
          14.96               2900        70.40              92.30              58.30              91.70              50.00              90.90              46.20              91.70              46.20  -
          15.09               2900        72.30              84.60              58.30              92.30              61.50              92.30              54.50              92.30              41.70  -
          15.21               2900        66.30              92.30              46.20              91.70              41.70              84.60              46.20              85.70              41.70  -
          15.34               2900        63.80              91.70              42.90              84.60              46.20              92.30              30.80              91.70              35.70  -
          15.47               2900         0.00              91.70              41.70              92.30              46.20              91.70              46.20              91.70              33.30  -
          15.60               2900         0.00              92.90              46.20              92.30              58.30              92.30              57.10              85.70              53.80  -
          15.73               2900        72.80             100.00              61.50              92.90              57.10              92.90              58.30             100.00              64.30  -
          15.86               2900        70.40              91.70              46.20              90.90              53.80              91.70              53.80              84.60              50.00  -
          15.98               2900        67.70              92.30              45.50              92.30              41.70              92.90              38.50              91.70              50.00  -
          16.11               2900         0.00             100.00              50.00              92.30              53.80              90.90              45.50              90.90              53.80  -
          16.23               2900         0.00              91.70              41.70              91.70              50.00              92.30              46.20              84.60              41.70  -
          16.35               2900         0.00              92.30              50.00              91.70              41.70              92.30              41.70              84.60              46.20  -
          16.48               2900         0.00              92.30              57.10              92.90              57.10              91.70              53.80              84.60              58.30  -
          16.61               2900         0.00              92.30              50.00              91.70              53.80              92.30              53.80              92.30              57.10  -
          16.74               2900        70.50              91.70              46.20              92.30              46.20              84.60              41.70              91.70              50.00  -
          16.87               2900        70.90              92.30              53.80              91.70              45.50              92.30              57.10              84.60              53.80  -
          17.00               2900        82.70              92.30              69.20              92.30              69.20              92.30              76.90              92.30              76.90  -
          17.13               2900        80.40              92.90              61.50              92.90              64.30             100.00              69.20              92.30              71.40  -
          17.26               2900         0.00              92.90              69.20              92.30              64.30              92.90              64.30              85.70              75.00  -
          17.40               2900         0.00              91.70              53.80              92.30              50.00              84.60              58.30              92.30              57.10  -
          17.52               2900         0.00              92.30              57.10              84.60              53.80              92.30              57.10              92.30              53.80  -
          17.65               2900         0.00              92.30              66.70              92.30              69.20              92.30              69.20              92.30              66.70  -
          17.78               2900        77.80              92.30              76.90              92.30              75.00             100.00              66.70             100.00              64.30  -
          17.91               2900        76.60              92.90              61.50              92.30              64.30              92.30              64.30              92.30              58.30  -
          18.04               2900        75.80             100.00              58.30              92.30              61.50              92.30              58.30              92.30              50.00  -
          18.17               2900        75.20              85.70              64.30              92.30              57.10              92.30              57.10             100.00              57.10  -
          18.30               2900        83.00              91.70              69.20              92.30              66.70             100.00              75.00              92.30              76.90  -
          18.43               2900        73.20              92.90              57.10              92.90              57.10              92.90              57.10              92.90              42.90  -
          18.57               2900        73.30              92.30              58.30              92.30              58.30              92.90              50.00              92.30              46.20  -
          18.69               2900        73.10              92.30              53.80             100.00              53.80              91.70              57.10              92.30              46.20  -
          18.82               2900        69.70              92.30              58.30              92.30              46.20              91.70              41.70              91.70              41.70  -
          18.94               2900        73.30             100.00              53.80              91.70              53.80              92.90              53.80              91.70              53.80  -
          19.07               2900        72.20              92.30              50.00             100.00              50.00              91.70              45.50              92.30              50.00  epoch 0: validate
          19.19               2900        59.20              92.30              25.00              92.30               9.10              91.70              35.70              91.70              27.30  -
          19.32               2900         0.00              91.70              21.40              92.30              23.10              92.30              18.20              85.70              33.30  -
          19.46               2900         0.00              93.30              60.00              93.30              73.30              92.30              66.70              85.70              61.50  -
          19.60               2900         0.00             100.00              66.70             100.00              73.30              93.30              73.30              93.30              73.30  -
          19.75               2900         0.00              85.70               8.30              84.60              15.40              78.60              15.40              84.60              28.60  -
          19.88               2900        65.80              92.30              15.40              92.30              23.10              92.30              30.80              84.60               8.30  -
          20.01               2900        82.80              93.70              75.00              93.70              68.80             100.00              70.60              93.70              68.80  -
          20.16               2900        87.30              92.90              78.60              85.70              85.70              92.90              84.60              92.30              85.70  -
          20.31               2900        55.10              92.30              15.40              92.30              21.40              85.70              23.10              92.30              21.40  -
          20.43               2900        83.50              91.70              76.90              83.30              81.80              92.30              83.30              84.60              72.70  epoch 1: train
          20.55               2900        67.00              92.30              33.30             100.00              42.90             100.00              42.90              91.70              38.50  -
          20.68               2900        72.30              92.90              57.10              85.70              53.80              85.70              53.80              93.30              53.30  -
          20.82               2900         0.00              91.70              41.70              92.30              41.70              91.70              46.20              90.90              45.50  -
          20.94               2900        66.00              91.70              38.50              91.70              41.70              92.30              36.40              84.60              38.50  -
          21.07               2900        68.20              92.90              46.20              92.30              46.20              92.30              42.90              84.60              46.20  -
          21.19               2900        66.30              91.70              41.70              91.70              38.50              91.70              46.20              85.70              46.20  -
          21.32               2900        59.20              92.30              30.80              84.60              33.30              83.30              25.00              90.90              33.30  -
          21.45               2900        66.70              92.30              41.70              92.30              38.50              92.30              46.20              92.30              33.30  -
          21.57               2900         0.00              92.30              42.90              83.30              42.90             100.00              41.70              84.60              42.90  -
          21.70               2900         0.00             100.00              41.70             100.00              36.40              84.60              38.50              84.60              50.00  -
          21.83               2900         0.00              91.70              38.50              91.70              38.50              84.60              46.20             100.00              38.50  -
          21.96               2900        65.90              92.30              38.50              92.90              42.90              91.70              38.50              84.60              38.50  -
          22.08               2900        63.30              91.70              36.40              92.30              33.30              84.60              41.70              84.60              33.30  -
          22.21               2900        64.60              92.30              38.50              90.90              41.70              83.30              46.20              91.70              38.50  -
          22.33               2900        65.00              92.30              38.50              92.30              33.30              92.30              33.30              91.70              41.70  -
          22.45               2900        63.30              91.70              33.30              91.70              38.50              91.70              33.30              91.70              38.50  -
          22.58               2900         0.00             100.00              38.50              91.70              46.20             100.00              41.70              92.30              41.70  -
          22.71               2900         0.00              91.70              41.70              92.30              38.50              85.70              42.90              92.30              46.20  -
          22.83               2900         0.00              92.90              38.50              92.90              50.00              91.70              38.50              84.60              38.50  -
          22.96               2900        67.30              91.70              46.20              91.70              38.50              91.70              50.00              91.70              46.20  -
          23.08               2900        71.60             100.00              46.20              92.30              53.80              92.30              46.20              92.30              50.00  -
          23.22               2900        71.20              91.70              53.80              84.60              50.00              92.30              53.80              84.60              57.10  -
          23.35               2900         0.00              92.30              46.20              92.90              46.20              92.90              46.20              92.30              41.70  -
          23.48               2900         0.00              92.90              46.20              91.70              53.80              90.90              53.80              84.60              53.80  -
          23.60               2900         0.00              92.30              45.50             100.00              46.20              85.70              53.80              92.30              46.20  -
          23.73               2900         0.00              92.30              50.00              92.30              53.80              91.70              50.00              84.60              50.00  -
          23.86               2900         0.00              91.70              53.80              92.30              46.20              92.90              53.80              92.30              53.80  -
          23.99               2900        70.90             100.00              50.00              92.30              53.80              91.70              50.00              92.30              46.20  -
          24.11               2900        70.70              83.30              53.80              91.70              50.00              92.30              53.80              91.70              50.00  -
          24.24               2900        73.10              92.30              61.50              92.30              53.80              91.70              50.00             100.00              46.20  -
          24.37               2900        68.30              91.70              50.00              91.70              46.20              85.70              50.00              84.60              46.20  -
          24.50               2900        71.70              92.30              53.80              85.70              53.80              92.30              53.80              92.30              50.00  -
          24.62               2900        70.40              91.70              61.50              83.30              58.30              91.70              41.70              92.30              41.70  -
          24.75               2900        67.60              92.30              46.20              92.90              42.90              92.30              46.20              84.60              41.70  -
          24.88               2900        66.70              92.90              38.50              92.30              41.70              84.60              46.20              84.60              50.00  -
          25.00               2900        66.30              90.90              46.20             100.00              38.50              91.70              41.70              90.90              41.70  -
          25.13               2900        71.00              92.30              50.00              91.70              50.00              91.70              53.80              85.70              50.00  -
          25.25               2900        65.70              92.30              38.50              92.30              41.70              91.70              41.70              83.30              41.70  -
          25.38               2900        67.30             100.00              41.70              92.90              38.50              92.30              38.50              92.30              42.90  -
          25.51               2900        63.40              85.70              38.50              91.70              38.50              85.70              33.30              91.70              36.40  -
          25.63               2900        72.40             100.00              53.80              91.70              58.30              91.70              53.80              83.30              53.80  -
          25.76               2900        76.00              92.30              58.30             100.00              53.80             100.00              61.50              92.30              50.00  -
          25.88               2900        76.70              92.30              61.50              92.30              66.70              92.30              58.30              92.30              57.10  -
          26.01               2900        74.50              92.30              58.30              92.30              61.50              92.30              53.80              92.30              50.00  -
          26.14               2900        73.70              91.70              61.50              92.30              58.30              91.70              58.30              91.70              46.20  -
          26.26               2900        71.30              92.30              50.00              91.70              53.80             100.00              46.20              91.70              46.20  -
          26.42               2900        83.60              93.70              75.00              93.70              75.00              93.70              75.00              88.20              73.30  -
          26.55               2900         0.00              92.30              69.20              91.70              69.20              92.30              66.70              92.30              69.20  -
          26.68               2900         0.00              92.30              66.70              92.90              64.30              92.90              71.40              92.30              69.20  -
          26.82               2900         0.00             100.00              81.30             100.00              84.60             100.00              85.70             100.00              86.70  -
          26.96               2900         0.00              92.90              50.00              85.70              57.10              85.70              57.10              86.70              61.50  -
          27.09               2900        80.30              92.90              61.50              92.30              61.50             100.00              53.80              92.30              53.80  -
          27.22               2900        81.70              92.30              71.40             100.00              66.70              92.30              69.20              91.70              71.40  -
          27.35               2900         0.00              92.30              69.20              92.90              64.30              92.90              53.80              92.30              50.00  -
          27.48               2900         0.00              92.30              66.70              92.30              61.50              91.70              69.20              92.30              61.50  -
          27.61               2900         0.00              92.30              53.80              92.30              58.30              92.90              53.80              92.30              41.70  -
          27.74               2900         0.00              92.30              60.00              92.30              57.10              92.30              57.10              92.30              53.30  -
          27.87               2900         0.00             100.00              46.20              92.90              50.00              92.30              50.00              85.70              53.80  -
          28.01               2900         0.00              92.30              61.50              92.30              61.50              92.30              57.10              92.30              61.50  -
          28.14               2900        77.00             100.00              76.90             100.00              78.60              92.90              85.70              93.30              85.70  -
          28.28               2900        86.10              92.30              73.30              92.30              84.60             100.00              71.40             100.00              76.90  -
          28.42               2900        84.00             100.00              66.70             100.00              71.40              92.90              76.90              92.30              71.40  -
          28.54               2900        88.30              92.30              71.40             100.00              76.90             100.00              84.60             100.00              84.60  -
          28.68               2900        86.80             100.00              75.00              92.90              75.00              92.90              69.20              92.90              92.30  -
          28.81               2900         0.00              93.30              75.00              93.30              76.50             100.00              73.30             100.00              75.00  -
          28.97               2900         0.00             100.00              66.70             100.00              58.30              92.30              69.20              92.90              61.50  -
          29.10               2900         0.00             100.00              60.00             100.00              60.00             100.00              46.70             100.00              61.50  -
          29.23               2900        81.00              92.90              61.50              92.90              61.50             100.00              53.80             100.00              71.40  -
          29.36               2900        76.80             100.00              61.50             100.00              46.20             100.00              58.30              92.30              58.30  -
          29.49               2900        77.80              92.90              53.80              92.90              66.70              92.90              61.50              92.90              64.30  -
          29.62               2900        82.50             100.00              71.40             100.00              69.20              92.30              71.40              92.30              66.70  -
          29.77               2900        79.60              92.90              69.20              93.30              60.00             100.00              64.30             100.00              60.00  -
          29.90               2900        79.80             100.00              61.50             100.00              61.50              92.30              69.20              92.90              61.50  -
          30.02               2900        74.80              92.30              69.20              92.30              58.30             100.00              46.20              92.30              46.20  -
          30.15               2900        78.60             100.00              53.80             100.00              50.00              92.90              58.30             100.00              69.20  -
          30.28               2900        78.90              92.90              64.30              93.30              61.50             100.00              66.70              93.30              64.30  -
          30.42               2900        76.00              92.90              64.30              92.30              57.10              92.30              53.80             100.00              50.00  -
          30.55               2900        75.20             100.00              53.80             100.00              53.80             100.00              53.80              92.90              57.10  -
          30.69               2900        77.10              92.30              66.70              92.90              61.50              92.30              61.50              92.90              53.80  -
          30.81               2900         0.00             100.00              61.50             100.00              61.50             100.00              69.20             100.00              53.80  -
          30.96               2900         0.00              93.30              73.30             100.00              71.40              92.90              57.10             100.00              69.20  -
          31.09               2900         0.00             100.00              61.50              92.90              66.70             100.00              66.70              92.30              57.10  -
          31.22               2900         0.00             100.00              58.30             100.00              61.50             100.00              69.20             100.00              76.90  -
          31.35               2900        82.20              92.90              71.40             100.00              73.30             100.00              73.30             100.00              69.20  -
          31.49               2900        81.70             100.00              60.00             100.00              76.90              92.90              53.80             100.00              71.40  -
          31.64               2900        81.80             100.00              71.40              93.70              73.30             100.00              60.00              93.70              60.00  -
          31.78               2900        85.60             100.00              71.40             100.00              71.40             100.00              71.40             100.00              71.40  -
          31.91               2900         0.00              92.90              71.40             100.00              71.40              93.30              78.60             100.00              73.30  -
          32.06               2900         0.00             100.00              73.30             100.00              73.30             100.00              71.40             100.00              73.30  -
          32.20               2900         0.00             100.00              69.20              92.90              71.40             100.00              66.70             100.00              66.70  -
          32.35               2900         0.00             100.00              75.00             100.00              80.00             100.00              80.00              94.10              81.20  -
          32.49               2900        85.40              92.90              71.40             100.00              78.60              93.30              69.20             100.00              61.50  -
          32.62               2900        86.10             100.00              66.70             100.00              75.00             100.00              76.90             100.00              69.20  -
          32.75               2900        74.80              92.90              53.80              92.90              60.00              85.70              64.30              85.70              61.50  -
          32.88               2900        81.00              91.70              66.70              91.70              72.70              92.30              69.20              92.30              71.40  -
          33.01               2900        71.60             100.00              50.00              92.30              50.00             100.00              46.20              91.70              50.00  -
          33.14               2900        69.70              92.30              53.80              92.30              45.50              84.60              45.50              91.70              46.20  -
          33.26               2900        80.80              92.30              66.70             100.00              61.50              92.90              64.30              92.30              76.90  -
          33.40               2900        78.00              92.30              57.10              92.90              64.30              92.30              69.20              86.70              69.20  -
          33.53               2900        73.00             100.00              53.80              92.30              50.00              91.70              53.80              91.70              53.80  -
          33.65               2900        72.50              84.60              58.30              92.30              50.00              91.70              53.80              92.30              58.30  -
          33.78               2900        75.70             100.00              61.50              91.70              66.70              92.90              53.80              84.60              53.80  -
          33.91               2900        82.50              92.30              69.20             100.00              69.20              92.30              69.20             100.00              69.20  -
          34.04               2900         0.00              92.30              61.50              92.30              61.50             100.00              61.50              92.90              57.10  -
          34.17               2900         0.00             100.00              64.30              92.90              69.20              92.90              69.20              92.90              61.50  -
          34.31               2900         0.00              92.90              57.10             100.00              61.50              92.30              61.50              91.70              58.30  -
          34.43               2900         0.00              91.70              45.50              92.90              46.20              92.30              50.00              84.60              46.20  -
          34.56               2900        76.80              92.30              61.50             100.00              61.50             100.00              61.50             100.00              64.30  -
          34.69               2900        72.40              92.90              53.80              84.60              57.10              85.70              61.50              91.70              50.00  -
          34.82               2900        75.20             100.00              61.50              92.30              54.50              91.70              53.80              85.70              64.30  -
          34.95               2900        74.50              92.30              58.30             100.00              57.10             100.00              50.00              91.70              50.00  -
          35.07               2900        75.00             100.00              53.30              93.30              57.10              92.90              53.30              92.90              57.10  -
          35.21               2900        72.90              92.30              54.50             100.00              50.00              91.70              50.00              92.30              50.00  -
          35.34               2900        71.40              92.30              46.20              92.30              50.00              92.30              57.10              84.60              53.80  -
          35.46               2900        68.00             100.00              46.20              91.70              46.20              84.60              36.40              91.70              50.00  -
          35.59               2900        75.20              92.30              58.30              92.30              58.30              92.30              61.50              91.70              57.10  -
          35.72               2900        79.40              92.90              64.30             100.00              61.50             100.00              58.30              92.30              66.70  -
          35.84               2900        72.90              92.30              53.80              85.70              57.10              92.30              53.80              92.30              53.80  -
          35.98               2900        73.80              92.30              53.80              92.30              53.80              92.90              60.00              92.30              53.80  -
          36.10               2900        69.90             100.00              41.70             100.00              36.40              91.70              45.50              91.70              50.00  -
          36.23               2900        69.40              92.30              53.80              85.70              53.30              92.30              46.20              85.70              46.20  -
          36.36               2900        70.30              92.30              53.80              92.30              50.00              84.60              50.00              91.70              50.00  -
          36.49               2900         0.00             100.00              50.00             100.00              58.30              92.30              58.30              92.30              57.10  -
          36.62               2900        75.50              92.90              57.10              92.90              57.10             100.00              53.80              92.30              53.80  -
          36.75               2900        78.30             100.00              57.10              92.90              64.30              93.30              57.10              93.30              66.70  -
          36.89               2900        72.20              91.70              50.00              91.70              53.80              91.70              53.80              91.70              58.30  -
          37.02               2900        75.00              93.30              53.80              92.90              53.80              92.90              57.10              92.90              57.10  -
          37.15               2900        74.00             100.00              50.00             100.00              53.80              92.30              58.30              91.70              50.00  -
          37.28               2900        74.50              93.30              57.10              92.30              53.80              92.30              57.10              93.30              57.10  -
          37.41               2900         0.00              92.30              50.00              92.90              53.80              92.90              53.80              91.70              69.20  -
          37.55               2900         0.00             100.00              57.10              92.30              53.80             100.00              58.30             100.00              53.80  -
          37.68               2900        74.60              92.90              50.00             100.00              53.30              92.90              53.30              86.70              53.30  -
          37.81               2900        77.30              92.90              58.30              92.30              58.30              91.70              58.30             100.00              63.60  -
          37.95               2900        74.10              92.30              53.80              92.90              53.80              92.30              57.10              92.90              57.10  -
          38.07               2900        67.00             100.00              42.90              91.70              42.90              85.70              38.50              85.70              53.80  -
          38.21               2900        76.40              92.30              61.50              85.70              61.50              92.30              61.50              92.30              61.50  -
          38.34               2900        77.70              92.30              58.30             100.00              61.50              92.30              61.50              92.30              64.30  -
