  Elapsed (sec)    CPULoad (%)    NumThreads    MemoryRSS (MB)    MemoryVMS (MB)    MemoryPFAULTS (MB)    MemoryPAGEINS (MB)    MemoryUSS (MB)    MemoryPercent (%)    GPUMemory (MB)  Event
           2.73         287.50            10        389.964844       5371.531250              0.368148              0.000001        297.976562                 2.38          0.000000  -
           2.86         283.00            10        389.964844       5371.531250              0.380370              0.000001        300.636719                 2.38          0.000000  -
           2.98         325.30            10        390.000000       5371.531250              0.392631              0.000001        305.929688                 2.38          0.000000  -
           3.10         288.50            10        390.003906       5371.531250              0.405453              0.000001        296.667969                 2.38          0.000000  -
           3.23         312.00            10        390.003906       5371.531250              0.417132              0.000001        294.628906                 2.38          0.000000  -
           3.38         241.70            10        390.003906       5371.531250              0.429826              0.000001        296.644531                 2.38          0.000000  -
           3.50         292.50            10        390.003906       5371.531250              0.442702              0.000001        295.324219                 2.38          0.000000  -
           3.63         285.30            10        390.007812       5371.531250              0.453791              0.000001        295.343750                 2.38          0.000000  -
           3.76         298.00            10        390.007812       5371.531250              0.465869              0.000001        303.320312                 2.38          0.000000  -
           3.88         300.00            10        390.027344       5371.531250              0.478693              0.000001        295.347656                 2.38          0.000000  -
           4.00         246.70            10        390.027344       5371.531250              0.489736              0.000001        295.378906                 2.38          0.000000  -
           4.12         293.40            10        390.058594       5371.531250              0.502147              0.000001        295.375000                 2.38          0.000000  -
           4.24         320.00            10        390.085938       5371.531250              0.514835              0.000001        295.410156                 2.38          0.000000  -
           4.36         289.10            10        390.085938       5371.531250              0.525822              0.000001        296.828125                 2.38          0.000000  -
           4.49         284.00            10        390.085938       5371.531250              0.537621              0.000001        300.738281                 2.38          0.000000  -
           4.61         326.10            10        390.085938       5371.531250              0.551954              0.000001        305.972656                 2.38          0.000000  -
           4.73         302.10            10        390.085938       5371.531250              0.563185              0.000001        298.054688                 2.38          0.000000  -
           4.86         313.70            10        390.121094       5371.531250              0.574419              0.000001        296.851562                 2.38          0.000000  -
           4.99         272.70            10        390.121094       5371.531250              0.589130              0.000001        295.437500                 2.38          0.000000  -
           5.11         302.40            10        390.121094       5371.531250              0.601949              0.000001        295.449219                 2.38          0.000000  -
           5.24         297.10            10        390.121094       5371.531250              0.615671              0.000001        300.742188                 2.38          0.000000  -
           5.36         276.00            10        390.121094       5371.531250              0.627282              0.000001        296.816406                 2.38          0.000000  -
           5.48         293.80            10        390.121094       5371.531250              0.639053              0.000001        299.453125                 2.38          0.000000  -
           5.61         285.60            10        390.121094       5371.531250              0.651896              0.000001        295.546875                 2.38          0.000000  -
           5.73         320.50            10        390.121094       5371.531250              0.662910              0.000001        295.574219                 2.38          0.000000  -
           5.85         283.00            10        390.121094       5371.531250              0.675213              0.000001        295.449219                 2.38          0.000000  -
           5.98         308.70            10        390.121094       5371.531250              0.688062              0.000001        295.449219                 2.38          0.000000  -
           6.11         301.10            10        390.121094       5371.531250              0.700346              0.000001        299.398438                 2.38          0.000000  -
           6.23         297.70            10        390.121094       5371.531250              0.711988              0.000001        299.492188                 2.38          0.000000  -
           6.35         291.20            10        390.121094       5371.531250              0.726508              0.000001        298.097656                 2.38          0.000000  -
           6.48         290.20            10        390.121094       5371.531250              0.737576              0.000001        298.082031                 2.38          0.000000  -
           6.60         279.50            10        390.121094       5371.531250              0.749278              0.000001        298.187500                 2.38          0.000000  -
           6.73         290.60            10        390.121094       5371.531250              0.760410              0.000001        295.535156                 2.38          0.000000  -
           6.85         256.60            10        390.121094       5371.531250              0.772095              0.000001        296.828125                 2.38          0.000000  -
           6.99         314.00            10        390.121094       5371.531250              0.784904              0.000001        300.730469                 2.38          0.000000  -
           7.12         294.60            10        390.121094       5371.531250              0.798072              0.000001        294.691406                 2.38          0.000000  -
           7.24         315.10            10        390.121094       5371.531250              0.812538              0.000001        296.757812                 2.38          0.000000  -
           7.36         297.20            10        390.121094       5371.531250              0.823606              0.000001        296.835938                 2.38          0.000000  -
           7.48         267.80            10        390.121094       5371.531250              0.835960              0.000001        296.769531                 2.38          0.000000  -
           7.61         261.40            10        390.136719       5371.531250              0.848109              0.000001        295.667969                 2.38          0.000000  -
           7.73         297.40            10        390.167969       5371.531250              0.861857              0.000001        295.496094                 2.38          0.000000  -
           7.85         300.80            10        390.167969       5371.531250              0.875244              0.000001        296.835938                 2.38          0.000000  -
           7.98         279.30            10        390.167969       5371.531250              0.886985              0.000001        296.863281                 2.38          0.000000  -
           8.10         288.60            10        390.167969       5371.531250              0.901589              0.000001        295.484375                 2.38          0.000000  -
           8.23         291.40            10        390.171875       5371.531250              0.912645              0.000001        295.519531                 2.38          0.000000  -
           8.35         296.40            10        390.171875       5371.531250              0.924036              0.000001        296.011719                 2.38          0.000000  -
           8.49         267.30            10        390.171875       5371.531250              0.935731              0.000001        295.515625                 2.38          0.000000  -
           8.61         288.70            10        390.175781       5371.531250              0.947917              0.000001        295.628906                 2.38          0.000000  -
           8.74         290.60            10        390.175781       5371.531250              0.960420              0.000001        295.500000                 2.38          0.000000  -
           8.86         286.20            10        390.175781       5371.531250              0.972753              0.000001        294.750000                 2.38          0.000000  -
           8.99         300.80            10        390.175781       5371.531250              0.988557              0.000001        302.105469                 2.38          0.000000  -
           9.12         269.40            10        390.179688       5371.531250              1.000824              0.000001        295.500000                 2.38          0.000000  -
           9.24         286.00            10        390.179688       5371.531250              1.012972              0.000001        298.312500                 2.38          0.000000  -
           9.36         298.80            10        390.183594       5371.531250              1.024886              0.000001        294.753906                 2.38          0.000000  -
           9.49         262.80            10        390.183594       5371.531250              1.036007              0.000001        295.566406                 2.38          0.000000  -
           9.61         302.70            10        390.183594       5371.531250              1.049938              0.000001        295.507812                 2.38          0.000000  -
           9.74         288.30            10        390.183594       5371.531250              1.061068              0.000001        295.511719                 2.38          0.000000  -
           9.86         325.80            10        390.183594       5371.531250              1.072787              0.000001        295.667969                 2.38          0.000000  -
           9.99         290.10            10        390.183594       5371.531250              1.084229              0.000001        296.832031                 2.38          0.000000  -
          10.12         292.90            10        390.183594       5371.531250              1.095266              0.000001        295.578125                 2.38          0.000000  -
          10.24         278.80            10        390.183594       5371.531250              1.105642              0.000001        295.507812                 2.38          0.000000  -
          10.36         309.20            10        390.183594       5371.531250              1.117619              0.000001        294.796875                 2.38          0.000000  -
          10.49         294.00            10        390.183594       5371.531250              1.132005              0.000001        295.507812                 2.38          0.000000  -
          10.62         311.30            10        390.183594       5371.531250              1.144819              0.000001        298.152344                 2.38          0.000000  -
          10.74         289.80            10        390.183594       5371.531250              1.157351              0.000001        298.148438                 2.38          0.000000  -
          10.86         282.70            10        390.183594       5371.531250              1.168503              0.000001        296.875000                 2.38          0.000000  -
          10.98         282.50            10        390.183594       5371.531250              1.180220              0.000001        296.921875                 2.38          0.000000  -
          11.11         267.50            10        390.183594       5371.531250              1.194723              0.000001        303.425781                 2.38          0.000000  -
          11.23         273.90            10        390.183594       5371.531250              1.209448              0.000001        303.429688                 2.38          0.000000  -
          11.35         295.20            10        390.183594       5371.531250              1.221846              0.000001        299.464844                 2.38          0.000000  -
          11.48         258.20            10        390.183594       5371.531250              1.232906              0.000001        299.539062                 2.38          0.000000  -
          11.61         290.30            10        390.183594       5371.531250              1.244622              0.000001        298.152344                 2.38          0.000000  -
          11.74         282.80            10        390.183594       5371.531250              1.257462              0.000001        295.511719                 2.38          0.000000  -
          11.86         291.40            10        390.183594       5371.531250              1.270325              0.000001        295.511719                 2.38          0.000000  -
          11.98         320.40            10        390.183594       5371.531250              1.282321              0.000001        293.496094                 2.38          0.000000  -
          12.10         257.70            10        390.183594       5371.531250              1.294312              0.000001        297.343750                 2.38          0.000000  -
          12.23         292.20            10        390.183594       5371.531250              1.309134              0.000001        306.070312                 2.38          0.000000  -
          12.35         299.40            10        390.183594       5371.531250              1.322103              0.000001        296.835938                 2.38          0.000000  -
          12.48         288.70            10        390.183594       5371.531250              1.335146              0.000001        296.859375                 2.38          0.000000  -
          12.60         285.30            10        390.183594       5371.531250              1.346863              0.000001        296.921875                 2.38          0.000000  -
          12.72         289.20            10        390.183594       5371.531250              1.359090              0.000001        296.828125                 2.38          0.000000  -
          12.85         270.30            10        390.183594       5371.531250              1.372103              0.000001        299.496094                 2.38          0.000000  -
          12.97         279.40            10        390.183594       5371.531250              1.384332              0.000001        299.464844                 2.38          0.000000  -
          13.09         270.60            10        390.183594       5371.531250              1.396089              0.000001        295.589844                 2.38          0.000000  -
          13.21         270.10            10        390.183594       5371.531250              1.407960              0.000001        298.179688                 2.38          0.000000  -
          13.34         267.20            10        390.183594       5371.531250              1.420225              0.000001        295.503906                 2.38          0.000000  -
          13.47         296.20            10        390.183594       5371.531250              1.433744              0.000001        298.144531                 2.38          0.000000  -
          13.59         275.30            10        390.183594       5371.531250              1.445553              0.000001        300.796875                 2.38          0.000000  -
          13.71         274.70            10        390.195312       5371.531250              1.457507              0.000001        294.804688                 2.38          0.000000  -
          13.84         299.40            10        390.195312       5371.531250              1.468883              0.000001        303.527344                 2.38          0.000000  -
          13.96         272.60            10        390.195312       5371.531250              1.480346              0.000001        303.480469                 2.38          0.000000  -
          14.08         268.60            10        390.195312       5371.531250              1.492337              0.000001        303.472656                 2.38          0.000000  -
          14.21         283.90            10        390.195312       5371.531250              1.504504              0.000001        300.804688                 2.38          0.000000  -
          14.34         287.20            10        390.195312       5371.531250              1.516312              0.000001        298.167969                 2.38          0.000000  -
          14.46         286.10            10        390.195312       5371.531250              1.528781              0.000001        298.167969                 2.38          0.000000  -
          14.59         296.20            10        390.195312       5371.531250              1.541217              0.000001        298.167969                 2.38          0.000000  -
          14.71         285.50            10        390.195312       5371.531250              1.553435              0.000001        295.523438                 2.38          0.000000  -
          14.84         285.40            10        390.195312       5371.531250              1.565793              0.000001        298.156250                 2.38          0.000000  -
          14.96         298.30            10        390.195312       5371.531250              1.578115              0.000001        295.523438                 2.38          0.000000  -
          15.09         280.30            10        390.199219       5371.531250              1.590411              0.000001        298.187500                 2.38          0.000000  -
          15.21         263.70            10        390.199219       5371.531250              1.601504              0.000001        295.546875                 2.38          0.000000  -
          15.34         282.20            10        390.199219       5371.531250              1.614316              0.000001        295.531250                 2.38          0.000000  -
          15.47         260.50            10        390.199219       5371.531250              1.626107              0.000001        295.531250                 2.38          0.000000  -
          15.60         253.20            10        390.199219       5371.531250              1.638321              0.000001        300.808594                 2.38          0.000000  -
          15.73         307.80            10        390.199219       5371.531250              1.650693              0.000001        295.519531                 2.38          0.000000  -
          15.86         272.10            10        390.199219       5371.531250              1.663513              0.000001        298.167969                 2.38          0.000000  -
          15.98         291.90            10        390.199219       5371.531250              1.675248              0.000001        298.167969                 2.38          0.000000  -
          16.11         260.40            10        390.199219       5371.531250              1.687338              0.000001        295.527344                 2.38          0.000000  -
          16.23         288.30            10        390.199219       5371.531250              1.698579              0.000001        295.527344                 2.38          0.000000  -
          16.35         273.10            10        390.230469       5371.531250              1.709656              0.000001        295.558594                 2.38          0.000000  -
          16.48         286.80            10        390.230469       5371.531250              1.720756              0.000001        295.570312                 2.38          0.000000  -
          16.61         282.00            10        390.230469       5371.531250              1.732071              0.000001        295.609375                 2.38          0.000000  -
          16.74         270.10            10        390.234375       5371.531250              1.743351              0.000001        295.652344                 2.38          0.000000  -
          16.87         302.90            10        390.234375       5371.531250              1.755714              0.000001        300.843750                 2.38          0.000000  -
          17.00         241.80            10        390.234375       5371.531250              1.768210              0.000001        295.562500                 2.38          0.000000  -
          17.13         261.50            10        390.238281       5371.531250              1.779920              0.000001        303.484375                 2.38          0.000000  -
          17.26         245.80            10        390.238281       5371.531250              1.791804              0.000001        305.355469                 2.38          0.000000  -
          17.40         277.60            10        390.238281       5371.531250              1.803409              0.000001        300.863281                 2.38          0.000000  -
          17.52         280.70            10        390.238281       5371.531250              1.815057              0.000001        300.847656                 2.38          0.000000  -
          17.65         258.60            10        390.238281       5371.531250              1.829785              0.000001        307.445312                 2.38          0.000000  -
          17.78         266.30            10        390.238281       5371.531250              1.841503              0.000001        298.265625                 2.38          0.000000  -
          17.91         284.80            10        390.238281       5371.531250              1.853480              0.000001        303.488281                 2.38          0.000000  -
          18.04         297.30            10        390.238281       5371.531250              1.864616              0.000001        302.167969                 2.38          0.000000  -
          18.17         296.60            10        390.238281       5371.531250              1.876929              0.000001        300.839844                 2.38          0.000000  -
          18.30         265.90            10        390.238281       5371.531250              1.889807              0.000001        295.558594                 2.38          0.000000  -
          18.43         284.30            10        390.238281       5371.531250              1.900867              0.000001        295.597656                 2.38          0.000000  -
          18.57         295.00            10        390.238281       5371.531250              1.912510              0.000001        295.566406                 2.38          0.000000  -
          18.69         280.40            10        390.238281       5371.531250              1.923615              0.000001        295.578125                 2.38          0.000000  -
          18.82         278.40            10        390.238281       5371.531250              1.935389              0.000001        295.589844                 2.38          0.000000  -
          18.94         307.80            10        390.238281       5371.531250              1.946493              0.000001        295.566406                 2.38          0.000000  -
          19.07         266.80            10        390.238281       5371.531250              1.957609              0.000001        295.558594                 2.38          0.000000  epoch 0: validate
          19.19         283.70            10        451.191406       5507.812500              1.991222              0.000001        396.671875                 2.75          0.000000  -
          19.32         258.70            10        638.066406       5672.996094              2.037973              0.000001        582.636719                 3.89          0.000000  -
          19.46         314.80            10        525.949219       5507.957031              2.092156              0.000001        469.511719                 3.21          0.000000  -
          19.60         315.20            10        647.113281       5631.738281              2.122849              0.000001        589.917969                 3.95          0.000000  -
          19.75         208.30            10        574.292969       5637.058594              2.148746              0.000001        394.226562                 3.51          0.000000  -
          19.88         254.00            10        767.441406       5802.097656              2.196990              0.000001        589.179688                 4.68          0.000000  -
          20.01         301.40            10        654.941406       5637.058594              2.251051              0.000001        473.628906                 4.00          0.000000  -
          20.16         337.90            10        654.945312       5637.058594              2.281691              0.000001        597.445312                 4.00          0.000000  -
          20.31         209.30            10        471.070312       5514.582031              2.310915              0.000001        416.066406                 2.88          0.000000  -
          20.43         317.20            10        494.835938       5493.906250              2.357985              0.000001        357.464844                 3.02          0.000000  epoch 1: train
          20.55         271.90            10        471.855469       5453.781250              2.374481              0.000001        301.144531                 2.88          0.000000  -
          20.68         271.20            10        471.824219       5453.703125              2.386415              0.000001        299.800781                 2.88          0.000000  -
          20.82         302.60            10        470.503906       5452.382812              2.400235              0.000001        305.074219                 2.87          0.000000  -
          20.94         285.40            10        470.503906       5452.382812              2.412747              0.000001        305.074219                 2.87          0.000000  -
          21.07         285.50            10        470.503906       5452.382812              2.425324              0.000001        305.066406                 2.87          0.000000  -
          21.19         286.30            10        470.503906       5452.382812              2.437912              0.000001        305.074219                 2.87          0.000000  -
          21.32         264.90            10        470.503906       5452.382812              2.450502              0.000001        305.093750                 2.87          0.000000  -
          21.45         288.00            10        470.503906       5452.382812              2.463713              0.000001        305.078125                 2.87          0.000000  -
          21.57         280.00            10        470.503906       5452.382812              2.476246              0.000001        305.066406                 2.87          0.000000  -
          21.70         287.40            10        470.503906       5452.382812              2.489455              0.000001        305.066406                 2.87          0.000000  -
          21.83         275.50            10        470.535156       5452.382812              2.502033              0.000001        305.117188                 2.87          0.000000  -
          21.96         267.50            10        470.566406       5452.382812              2.515105              0.000001        305.148438                 2.87          0.000000  -
          22.08         248.90            10        470.566406       5452.382812              2.526735              0.000001        305.300781                 2.87          0.000000  -
          22.21         255.80            10        470.566406       5452.382812              2.539292              0.000001        305.136719                 2.87          0.000000  -
          22.33         278.80            10        470.566406       5452.382812              2.552126              0.000001        307.773438                 2.87          0.000000  -
          22.45         306.60            10        470.566406       5452.382812              2.564688              0.000001        305.128906                 2.87          0.000000  -
          22.58         290.00            10        470.566406       5452.382812              2.576713              0.000001        305.128906                 2.87          0.000000  -
          22.71         273.20            10        470.566406       5452.382812              2.588807              0.000001        305.128906                 2.87          0.000000  -
          22.83         280.60            10        470.566406       5452.382812              2.601394              0.000001        305.136719                 2.87          0.000000  -
          22.96         275.90            10        470.566406       5452.382812              2.614173              0.000001        305.191406                 2.87          0.000000  -
          23.08         292.40            10        470.566406       5452.382812              2.627356              0.000001        305.179688                 2.87          0.000000  -
          23.22         276.70            10        470.566406       5452.382812              2.640594              0.000001        305.136719                 2.87          0.000000  -
          23.35         276.20            10        470.566406       5452.382812              2.653188              0.000001        305.156250                 2.87          0.000000  -
          23.48         257.20            10        470.566406       5452.382812              2.665834              0.000001        305.136719                 2.87          0.000000  -
          23.60         251.80            10        470.566406       5452.382812              2.678015              0.000001        305.136719                 2.87          0.000000  -
          23.73         273.10            10        470.566406       5452.382812              2.689487              0.000001        305.136719                 2.87          0.000000  -
          23.86         267.80            10        470.566406       5452.382812              2.702134              0.000001        305.136719                 2.87          0.000000  -
          23.99         293.50            10        470.566406       5452.382812              2.714604              0.000001        305.148438                 2.87          0.000000  -
          24.11         284.30            10        470.566406       5452.382812              2.727370              0.000001        305.136719                 2.87          0.000000  -
          24.24         283.10            10        470.566406       5452.382812              2.737880              0.000001        305.156250                 2.87          0.000000  -
          24.37         284.90            10        470.566406       5452.382812              2.750647              0.000001        305.140625                 2.87          0.000000  -
          24.50         284.30            10        470.597656       5452.382812              2.762051              0.000001        305.167969                 2.87          0.000000  -
          24.62         287.10            10        470.597656       5452.382812              2.775283              0.000001        305.160156                 2.87          0.000000  -
          24.75         283.80            10        470.597656       5452.382812              2.787741              0.000001        305.171875                 2.87          0.000000  -
          24.88         257.40            10        470.601562       5452.382812              2.799992              0.000001        310.605469                 2.87          0.000000  -
          25.00         288.60            10        470.601562       5452.382812              2.812582              0.000001        310.472656                 2.87          0.000000  -
          25.13         281.00            10        470.601562       5452.382812              2.824677              0.000001        310.503906                 2.87          0.000000  -
          25.25         292.50            10        470.601562       5452.382812              2.838342              0.000001        310.453125                 2.87          0.000000  -
          25.38         276.30            10        470.601562       5452.382812              2.850946              0.000001        310.453125                 2.87          0.000000  -
          25.51         288.50            10        470.601562       5452.382812              2.863086              0.000001        310.476562                 2.87          0.000000  -
          25.63         272.40            10        470.601562       5452.382812              2.874295              0.000001        310.515625                 2.87          0.000000  -
          25.76         285.30            10        470.601562       5452.382812              2.886446              0.000001        310.445312                 2.87          0.000000  -
          25.88         304.60            10        470.601562       5452.382812              2.897884              0.000001        310.503906                 2.87          0.000000  -
          26.01         278.70            10        470.601562       5452.382812              2.908436              0.000001        305.171875                 2.87          0.000000  -
          26.14         285.10            10        470.601562       5452.382812              2.920238              0.000001        305.171875                 2.87          0.000000  -
          26.26         285.50            10        470.601562       5452.382812              2.931708              0.000001        305.164062                 2.87          0.000000  -
          26.42         249.50            10        470.601562       5452.382812              2.944316              0.000001        305.164062                 2.87          0.000000  -
          26.55         244.70            10        470.601562       5452.382812              2.955755              0.000001        305.171875                 2.87          0.000000  -
          26.68         272.50            10        470.601562       5452.382812              2.968865              0.000001        305.156250                 2.87          0.000000  -
          26.82         236.50            10        470.601562       5452.382812              2.980843              0.000001        305.179688                 2.87          0.000000  -
          26.96         262.10            10        470.601562       5452.382812              2.993132              0.000001        304.414062                 2.87          0.000000  -
          27.09         279.60            10        470.601562       5452.382812              3.006186              0.000001        306.492188                 2.87          0.000000  -
          27.22         274.60            10        470.601562       5452.382812              3.017679              0.000001        306.515625                 2.87          0.000000  -
          27.35         282.60            10        470.601562       5452.382812              3.028164              0.000001        306.609375                 2.87          0.000000  -
          27.48         271.50            10        470.601562       5452.382812              3.039656              0.000001        306.484375                 2.87          0.000000  -
          27.61         274.90            10        470.601562       5452.382812              3.051126              0.000001        306.484375                 2.87          0.000000  -
          27.74         290.80            10        470.601562       5452.382812              3.064237              0.000001        305.191406                 2.87          0.000000  -
          27.87         269.20            10        470.601562       5452.382812              3.076550              0.000001        305.164062                 2.87          0.000000  -
          28.01         258.10            10        470.601562       5452.382812              3.089111              0.000001        305.171875                 2.87          0.000000  -
          28.14         233.60            10        470.601562       5452.382812              3.102576              0.000001        305.175781                 2.87          0.000000  -
          28.28         135.40            10        470.601562       5452.382812              3.113599              0.000001        305.171875                 2.87          0.000000  -
          28.42         222.50            10        468.402344       5450.183594              3.128440              0.000001        305.164062                 2.86          0.000000  -
          28.54         258.40            10        468.402344       5450.183594              3.141114              0.000001        298.562500                 2.86          0.000000  -
          28.68         202.10            10        468.402344       5450.183594              3.151582              0.000001        302.605469                 2.86          0.000000  -
          28.81         159.30            10        468.402344       5450.183594              3.162626              0.000001        302.550781                 2.86          0.000000  -
          28.97         268.20            10        468.402344       5450.183594              3.174603              0.000001        302.523438                 2.86          0.000000  -
          29.10         188.20            10        468.402344       5450.183594              3.186000              0.000001        306.605469                 2.86          0.000000  -
          29.23         180.50            10        468.402344       5450.183594              3.199194              0.000001        303.988281                 2.86          0.000000  -
          29.36         206.10            10        468.402344       5450.183594              3.212424              0.000001        305.171875                 2.86          0.000000  -
          29.49         208.80            10        468.402344       5450.183594              3.224354              0.000001        303.093750                 2.86          0.000000  -
          29.62         220.80            10        467.699219       5449.480469              3.239600              0.000001        310.441406                 2.85          0.000000  -
          29.77         203.90            10        467.699219       5449.480469              3.250151              0.000001        310.519531                 2.85          0.000000  -
          29.90         203.50            10        467.699219       5449.480469              3.261178              0.000001        311.824219                 2.85          0.000000  -
          30.02         248.10            10        467.699219       5449.480469              3.273717              0.000001        309.628906                 2.85          0.000000  -
          30.15         225.80            10        467.703125       5449.480469              3.284818              0.000001        311.777344                 2.85          0.000000  -
          30.28         226.00            10        467.703125       5449.480469              3.299388              0.000001        311.800781                 2.85          0.000000  -
          30.42         245.70            10        467.703125       5449.480469              3.310795              0.000001        311.777344                 2.85          0.000000  -
          30.55         214.60            10        467.703125       5449.480469              3.321906              0.000001        311.906250                 2.85          0.000000  -
          30.69         234.40            10        467.703125       5449.480469              3.334164              0.000001        311.777344                 2.85          0.000000  -
          30.81         197.30            10        467.703125       5449.480469              3.345646              0.000001        311.851562                 2.85          0.000000  -
          30.96         197.20            10        467.703125       5449.480469              3.358023              0.000001        311.820312                 2.85          0.000000  -
          31.09         205.70            10        467.703125       5449.480469              3.369490              0.000001        311.777344                 2.85          0.000000  -
          31.22         214.50            10        467.703125       5449.480469              3.381224              0.000001        311.773438                 2.85          0.000000  -
          31.35         192.60            10        467.703125       5449.480469              3.392361              0.000001        311.933594                 2.85          0.000000  -
          31.49         197.70            10        467.707031       5449.480469              3.404521              0.000001        311.847656                 2.85          0.000000  -
          31.64         187.50            10        467.707031       5449.480469              3.416984              0.000001        311.843750                 2.85          0.000000  -
          31.78         199.10            10        467.707031       5449.480469              3.430792              0.000001        311.851562                 2.85          0.000000  -
          31.91         216.70            10        467.710938       5449.480469              3.443348              0.000001        311.796875                 2.85          0.000000  -
          32.06         204.40            10        467.710938       5449.480469              3.456041              0.000001        311.941406                 2.85          0.000000  -
          32.20         195.10            10        467.710938       5449.480469              3.469924              0.000001        311.785156                 2.85          0.000000  -
          32.35         158.60            10        467.710938       5449.480469              3.481359              0.000001        311.785156                 2.85          0.000000  -
          32.49         195.20            10        467.710938       5449.480469              3.493047              0.000001        311.785156                 2.85          0.000000  -
          32.62         200.40            10        467.710938       5449.480469              3.505190              0.000001        311.988281                 2.85          0.000000  -
          32.75         258.60            10        467.742188       5449.480469              3.517073              0.000001        311.921875                 2.85          0.000000  -
          32.88         267.90            10        467.742188       5449.480469              3.529682              0.000001        311.964844                 2.85          0.000000  -
          33.01         259.00            10        467.742188       5449.480469              3.543697              0.000001        313.140625                 2.85          0.000000  -
          33.14         278.10            10        467.742188       5449.480469              3.555752              0.000001        313.199219                 2.85          0.000000  -
          33.26         262.00            10        467.773438       5449.480469              3.568954              0.000001        313.195312                 2.86          0.000000  -
          33.40         262.40            10        467.773438       5449.480469              3.581703              0.000001        313.214844                 2.86          0.000000  -
          33.53         261.30            10        467.773438       5449.480469              3.594316              0.000001        313.171875                 2.86          0.000000  -
          33.65         293.10            10        467.773438       5449.480469              3.605835              0.000001        313.171875                 2.86          0.000000  -
          33.78         277.30            10        467.773438       5449.480469              3.619884              0.000001        313.167969                 2.86          0.000000  -
          33.91         248.80            10        467.773438       5449.480469              3.631911              0.000001        313.257812                 2.86          0.000000  -
          34.04         268.40            10        467.773438       5449.480469              3.646811              0.000001        313.160156                 2.86          0.000000  -
          34.17         281.20            10        467.773438       5449.480469              3.660893              0.000001        313.195312                 2.86          0.000000  -
          34.31         237.60            10        467.773438       5449.480469              3.671421              0.000001        313.171875                 2.86          0.000000  -
          34.43         277.30            10        467.773438       5449.480469              3.683460              0.000001        313.230469                 2.86          0.000000  -
          34.56         287.60            10        467.773438       5449.480469              3.695962              0.000001        313.171875                 2.86          0.000000  -
          34.69         286.50            10        467.773438       5449.480469              3.709949              0.000001        313.160156                 2.86          0.000000  -
          34.82         290.90            10        467.773438       5449.480469              3.722021              0.000001        311.101562                 2.86          0.000000  -
          34.95         239.20            10        467.773438       5449.480469              3.733507              0.000001        313.171875                 2.86          0.000000  -
          35.07         210.00            10        467.773438       5449.480469              3.745400              0.000001        313.214844                 2.86          0.000000  -
          35.21         261.30            10        467.773438       5449.480469              3.756967              0.000001        313.164062                 2.86          0.000000  -
          35.34         271.80            10        467.773438       5449.480469              3.770519              0.000001        313.167969                 2.86          0.000000  -
          35.46         258.80            10        467.773438       5449.480469              3.782353              0.000001        313.175781                 2.86          0.000000  -
          35.59         240.00            10        467.773438       5449.480469              3.793791              0.000001        313.164062                 2.86          0.000000  -
          35.72         263.90            10        467.773438       5449.480469              3.806595              0.000001        313.175781                 2.86          0.000000  -
          35.84         265.90            10        467.773438       5449.480469              3.817628              0.000001        313.242188                 2.86          0.000000  -
          35.98         282.70            10        467.773438       5449.480469              3.829222              0.000001        313.171875                 2.86          0.000000  -
