  Elapsed (sec)    PhysTotal (MB)    PhysAvail (MB)    PhysUsed (MB)    PhysPercent (%)    SwapTotal (MB)    SwapFree (MB)    SwapUsed (MB)    SwapPercent (%)  Event
           3.23      16384.000000       7316.257812      7691.933594              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           3.38      16384.000000       7316.261719      7691.933594              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           3.50      16384.000000       7316.261719      7691.933594              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           3.63      16384.000000       7316.261719      7691.933594              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           3.76      16384.000000       7316.261719      7691.933594              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           3.88      16384.000000       7316.261719      7691.933594              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.00      16384.000000       7316.261719      7691.933594              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.12      16384.000000       7318.375000      7690.714844              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.24      16384.000000       7318.128906      7691.570312              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.36      16384.000000       7317.511719      7691.203125              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.49      16384.000000       7318.125000      7690.085938              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.61      16384.000000       7318.000000      7691.367188              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.73      16384.000000       7318.000000      7691.367188              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.86      16384.000000       7318.000000      7691.367188              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           4.99      16384.000000       7318.000000      7691.367188              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           5.11      16384.000000       7318.000000      7691.367188              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           5.24      16384.000000       7318.609375      7689.625000              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           5.36      16384.000000       7318.628906      7689.609375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           5.48      16384.000000       7318.628906      7689.609375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           5.61      16384.000000       7318.628906      7689.609375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           5.73      16384.000000       7318.628906      7689.609375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           5.85      16384.000000       7318.628906      7689.609375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           5.98      16384.000000       7318.628906      7689.609375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           6.11      16384.000000       7318.628906      7689.609375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           6.23      16384.000000       7318.628906      7689.609375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
           6.35      16384.000000       7340.464844      7667.359375              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           6.48      16384.000000       7343.136719      7665.667969              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           6.60      16384.000000       7337.503906      7670.968750              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           6.73      16384.000000       7338.144531      7670.566406              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           6.85      16384.000000       7338.144531      7670.566406              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           6.99      16384.000000       7338.144531      7670.566406              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           7.12      16384.000000       7338.144531      7670.566406              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           7.24      16384.000000       7338.144531      7670.566406              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           7.36      16384.000000       7340.664062      7667.796875              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           7.48      16384.000000       7339.011719      7669.699219              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           7.61      16384.000000       7337.507812      7671.457031              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           7.73      16384.000000       7335.179688      7673.750000              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           7.85      16384.000000       7335.468750      7673.371094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           7.98      16384.000000       7335.468750      7673.371094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           8.10      16384.000000       7335.468750      7673.371094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           8.23      16384.000000       7335.468750      7673.371094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           8.35      16384.000000       7339.078125      7669.730469              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           8.49      16384.000000       7336.222656      7672.316406              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           8.61      16384.000000       7336.828125      7672.835938              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           8.74      16384.000000       7335.996094      7673.117188              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           8.86      16384.000000       7338.882812      7670.140625              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           8.99      16384.000000       7338.882812      7670.140625              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           9.12      16384.000000       7338.882812      7670.140625              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           9.24      16384.000000       7338.882812      7670.140625              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           9.36      16384.000000       7337.554688      7670.656250              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           9.49      16384.000000       7337.558594      7670.656250              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           9.61      16384.000000       7337.558594      7670.656250              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           9.74      16384.000000       7337.558594      7670.656250              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           9.86      16384.000000       7337.558594      7670.656250              55.20       3072.000000      1129.500000      1942.500000              63.20  -
           9.99      16384.000000       7337.558594      7670.656250              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          10.12      16384.000000       7337.558594      7670.656250              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          10.24      16384.000000       7337.558594      7670.656250              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          10.36      16384.000000       7364.902344      7643.531250              55.00       3072.000000      1129.500000      1942.500000              63.20  -
          10.49      16384.000000       7361.570312      7646.425781              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          10.62      16384.000000       7361.570312      7646.425781              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          10.74      16384.000000       7361.570312      7646.425781              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          10.86      16384.000000       7361.570312      7646.425781              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          10.98      16384.000000       7361.570312      7646.425781              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          11.11      16384.000000       7361.570312      7646.425781              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          11.23      16384.000000       7361.570312      7646.425781              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          11.35      16384.000000       7361.570312      7646.425781              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          11.48      16384.000000       7334.738281      7674.113281              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          11.61      16384.000000       7333.761719      7675.152344              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          11.74      16384.000000       7328.039062      7680.503906              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          11.86      16384.000000       7327.933594      7680.765625              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          11.98      16384.000000       7326.757812      7681.460938              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          12.10      16384.000000       7326.757812      7681.460938              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          12.23      16384.000000       7326.757812      7681.460938              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          12.35      16384.000000       7326.757812      7681.460938              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          12.48      16384.000000       7326.757812      7681.460938              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          12.60      16384.000000       7326.277344      7682.054688              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          12.72      16384.000000       7325.109375      7683.503906              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          12.85      16384.000000       7326.867188      7681.859375              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          12.97      16384.000000       7326.558594      7681.855469              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          13.09      16384.000000       7327.386719      7681.843750              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          13.21      16384.000000       7327.386719      7681.843750              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          13.34      16384.000000       7327.386719      7681.843750              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          13.47      16384.000000       7327.386719      7681.843750              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          13.59      16384.000000       7327.386719      7681.843750              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          13.71      16384.000000       7326.281250      7682.226562              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          13.84      16384.000000       7321.015625      7687.832031              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          13.96      16384.000000       7321.015625      7687.832031              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          14.08      16384.000000       7321.015625      7687.832031              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          14.21      16384.000000       7321.015625      7687.832031              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          14.34      16384.000000       7321.015625      7687.832031              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          14.46      16384.000000       7321.015625      7687.832031              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          14.59      16384.000000       7321.015625      7687.832031              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          14.71      16384.000000       7330.691406      7678.164062              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          14.84      16384.000000       7331.335938      7677.925781              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          14.96      16384.000000       7330.859375      7678.070312              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          15.09      16384.000000       7330.402344      7678.031250              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          15.21      16384.000000       7330.402344      7678.031250              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          15.34      16384.000000       7330.402344      7678.031250              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          15.47      16384.000000       7330.402344      7678.031250              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          15.60      16384.000000       7330.402344      7678.031250              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          15.73      16384.000000       7326.582031      7681.957031              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          15.86      16384.000000       7331.050781      7677.488281              55.30       3072.000000      1129.500000      1942.500000              63.20  -
          15.98      16384.000000       7331.988281      7675.808594              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          16.11      16384.000000       7332.652344      7675.496094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          16.23      16384.000000       7332.652344      7675.496094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          16.35      16384.000000       7332.652344      7675.496094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          16.48      16384.000000       7332.652344      7675.496094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          16.61      16384.000000       7332.652344      7675.496094              55.20       3072.000000      1129.500000      1942.500000              63.20  -
          16.74      16384.000000       7357.707031      7650.878906              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          16.87      16384.000000       7357.246094      7651.734375              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          17.00      16384.000000       7351.312500      7657.152344              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          17.13      16384.000000       7351.312500      7657.152344              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          17.26      16384.000000       7351.312500      7657.152344              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          17.40      16384.000000       7351.312500      7657.152344              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          17.52      16384.000000       7351.312500      7657.152344              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          17.65      16384.000000       7351.312500      7657.152344              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          17.78      16384.000000       7354.710938      7653.750000              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          17.91      16384.000000       7354.027344      7654.285156              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          18.04      16384.000000       7352.171875      7656.613281              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          18.17      16384.000000       7350.296875      7658.144531              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          18.30      16384.000000       7350.296875      7658.144531              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          18.43      16384.000000       7350.296875      7658.144531              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          18.57      16384.000000       7350.296875      7658.144531              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          18.69      16384.000000       7350.296875      7658.144531              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          18.82      16384.000000       7348.988281      7659.476562              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          18.94      16384.000000       7349.027344      7659.597656              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          19.07      16384.000000       7349.027344      7659.597656              55.10       3072.000000      1129.500000      1942.500000              63.20  epoch 0: validate
          19.19      16384.000000       7349.027344      7659.597656              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          19.32      16384.000000       7349.027344      7659.597656              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          19.46      16384.000000       7349.027344      7659.597656              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          19.60      16384.000000       7349.027344      7659.597656              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          19.75      16384.000000       7349.027344      7659.597656              55.10       3072.000000      1129.500000      1942.500000              63.20  -
          19.88      16384.000000       6801.390625      8207.562500              58.50       3072.000000      1129.500000      1942.500000              63.20  -
          20.01      16384.000000       7070.058594      7938.542969              56.80       3072.000000      1129.500000      1942.500000              63.20  -
          20.16      16384.000000       7070.058594      7938.542969              56.80       3072.000000      1129.500000      1942.500000              63.20  -
          20.31      16384.000000       7070.058594      7938.542969              56.80       3072.000000      1129.500000      1942.500000              63.20  -
          20.43      16384.000000       7070.058594      7938.542969              56.80       3072.000000      1129.500000      1942.500000              63.20  epoch 1: train
          20.55      16384.000000       7070.058594      7938.542969              56.80       3072.000000      1129.500000      1942.500000              63.20  -
          20.68      16384.000000       7070.058594      7938.542969              56.80       3072.000000      1129.500000      1942.500000              63.20  -
          20.82      16384.000000       7070.058594      7938.542969              56.80       3072.000000      1129.500000      1942.500000              63.20  -
          20.94      16384.000000       7216.371094      7792.417969              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          21.07      16384.000000       7242.226562      7766.785156              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          21.19      16384.000000       7241.167969      7767.984375              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          21.32      16384.000000       7240.074219      7768.597656              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          21.45      16384.000000       7238.992188      7769.523438              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          21.57      16384.000000       7238.992188      7769.523438              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          21.70      16384.000000       7238.992188      7769.523438              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          21.83      16384.000000       7238.992188      7769.523438              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          21.96      16384.000000       7237.875000      7770.101562              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          22.08      16384.000000       7238.343750      7770.570312              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          22.21      16384.000000       7238.578125      7770.542969              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          22.33      16384.000000       7236.433594      7772.746094              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          22.45      16384.000000       7236.433594      7772.746094              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          22.58      16384.000000       7236.433594      7772.746094              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          22.71      16384.000000       7236.433594      7772.746094              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          22.83      16384.000000       7236.433594      7772.746094              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          22.96      16384.000000       7236.859375      7772.214844              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          23.08      16384.000000       7236.480469      7772.195312              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          23.22      16384.000000       7236.125000      7772.210938              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          23.35      16384.000000       7236.125000      7772.210938              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          23.48      16384.000000       7236.125000      7772.210938              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          23.60      16384.000000       7236.125000      7772.210938              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          23.73      16384.000000       7236.125000      7772.210938              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          23.86      16384.000000       7236.125000      7772.210938              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          23.99      16384.000000       7295.722656      7712.707031              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          24.11      16384.000000       7296.292969      7712.785156              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          24.24      16384.000000       7296.179688      7712.898438              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          24.37      16384.000000       7296.179688      7712.898438              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          24.50      16384.000000       7296.179688      7712.898438              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          24.62      16384.000000       7296.179688      7712.898438              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          24.75      16384.000000       7296.179688      7712.898438              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          24.88      16384.000000       7296.179688      7712.898438              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          25.00      16384.000000       7296.835938      7712.214844              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          25.13      16384.000000       7295.906250      7712.566406              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          25.25      16384.000000       7295.906250      7712.566406              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          25.38      16384.000000       7295.906250      7712.566406              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          25.51      16384.000000       7295.906250      7712.566406              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          25.63      16384.000000       7295.906250      7712.566406              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          25.76      16384.000000       7295.906250      7712.566406              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          25.88      16384.000000       7295.906250      7712.566406              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          26.01      16384.000000       7295.175781      7713.722656              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          26.14      16384.000000       7295.742188      7713.386719              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          26.26      16384.000000       7294.671875      7713.472656              55.50       3072.000000      1129.500000      1942.500000              63.20  -
          26.42      16384.000000       7251.246094      7756.808594              55.70       3072.000000      1129.500000      1942.500000              63.20  -
          26.55      16384.000000       7265.429688      7742.492188              55.70       3072.000000      1129.500000      1942.500000              63.20  -
          26.68      16384.000000       7265.429688      7742.492188              55.70       3072.000000      1129.500000      1942.500000              63.20  -
          26.82      16384.000000       7265.429688      7742.492188              55.70       3072.000000      1129.500000      1942.500000              63.20  -
          26.96      16384.000000       7265.429688      7742.492188              55.70       3072.000000      1129.500000      1942.500000              63.20  -
          27.09      16384.000000       7247.109375      7761.457031              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          27.22      16384.000000       7250.003906      7759.335938              55.70       3072.000000      1129.500000      1942.500000              63.20  -
          27.35      16384.000000       7248.433594      7759.480469              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          27.48      16384.000000       7248.433594      7759.480469              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          27.61      16384.000000       7248.433594      7759.480469              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          27.74      16384.000000       7248.433594      7759.480469              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          27.87      16384.000000       7248.433594      7759.480469              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          28.01      16384.000000       7248.433594      7759.480469              55.80       3072.000000      1129.500000      1942.500000              63.20  -
          28.14      16384.000000       7233.484375      7775.671875              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          28.28      16384.000000       7220.285156      7787.789062              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          28.42      16384.000000       7217.476562      7791.195312              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          28.54      16384.000000       7215.128906      7794.007812              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          28.68      16384.000000       7215.171875      7793.976562              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          28.81      16384.000000       7215.171875      7793.976562              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          28.97      16384.000000       7215.171875      7793.976562              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          29.10      16384.000000       7215.171875      7793.976562              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          29.23      16384.000000       7230.359375      7777.902344              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          29.36      16384.000000       7224.355469      7784.351562              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          29.49      16384.000000       7217.449219      7790.734375              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          29.62      16384.000000       7218.332031      7790.464844              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          29.77      16384.000000       7218.332031      7790.464844              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          29.90      16384.000000       7218.332031      7790.464844              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          30.02      16384.000000       7218.332031      7790.464844              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          30.15      16384.000000       7218.332031      7790.464844              55.90       3072.000000      1129.500000      1942.500000              63.20  -
          30.28      16384.000000       7208.746094      7799.453125              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          30.42      16384.000000       7206.558594      7802.042969              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          30.55      16384.000000       7206.847656      7802.089844              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          30.69      16384.000000       7209.164062      7799.425781              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          30.81      16384.000000       7209.164062      7799.425781              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          30.96      16384.000000       7209.164062      7799.425781              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          31.09      16384.000000       7209.164062      7799.425781              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          31.22      16384.000000       7209.164062      7799.425781              56.00       3072.000000      1129.500000      1942.500000              63.20  -
          31.35      16384.000000       7180.812500      7828.750000              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          31.49      16384.000000       7177.632812      7831.058594              56.20       3072.000000      1129.500000      1942.500000              63.20  -
          31.64      16384.000000       7185.562500      7822.492188              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          31.78      16384.000000       7186.156250      7823.164062              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          31.91      16384.000000       7186.156250      7823.164062              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          32.06      16384.000000       7186.156250      7823.164062              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          32.20      16384.000000       7186.156250      7823.164062              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          32.35      16384.000000       7186.156250      7823.164062              56.10       3072.000000      1129.500000      1942.500000              63.20  -
          32.49      16384.000000       7160.542969      7848.308594              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          32.62      16384.000000       7155.851562      7852.351562              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          32.75      16384.000000       7155.851562      7852.351562              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          32.88      16384.000000       7155.851562      7852.351562              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          33.01      16384.000000       7155.851562      7852.351562              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          33.14      16384.000000       7155.851562      7852.351562              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          33.26      16384.000000       7155.851562      7852.351562              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          33.40      16384.000000       7155.851562      7852.351562              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          33.53      16384.000000       7152.265625      7856.148438              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          33.65      16384.000000       7152.656250      7855.796875              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          33.78      16384.000000       7159.902344      7848.992188              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          33.91      16384.000000       7159.406250      7848.996094              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          34.04      16384.000000       7159.406250      7848.996094              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          34.17      16384.000000       7159.406250      7848.996094              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          34.31      16384.000000       7159.406250      7848.996094              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          34.43      16384.000000       7159.406250      7848.996094              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          34.56      16384.000000       7158.734375      7849.808594              56.30       3072.000000      1129.500000      1942.500000              63.20  -
          34.69      16384.000000       7156.160156      7852.023438              56.30       3072.000000      1129.500000      1942.500000              63.20  -
