A100 8 GPUs batch size 2048/GPU,A100 8 GPUs batch size 256/GPU,A100 8 GPUs batch size 512/GPU,A100 8 GPUs batch size 1024/GPU
11.31,17.71,14.24,12.15
11.32,17.71,14.17,12.09
11.28,17.96,14.13,12.05
11.29,17.87,14.08,12.02
11.3,17.79,14.05,12
11.34,17.76,14.03,11.99
11.36,17.73,14.02,11.97
11.36,17.72,14.01,11.95
11.34,17.71,14,11.94
11.34,17.7,13.99,11.95
11.32,17.97,13.96,11.95
11.34,17.88,13.97,11.94
11.35,17.82,13.96,11.94
11.35,17.78,13.98,11.95
11.35,17.73,14.25,11.94
11.63,17.72,14.17,11.93
11.55,17.71,14.11,11.93
11.48,17.7,14.08,12.21
11.42,17.96,14.06,12.13
11.38,17.87,14.05,12.08
11.35,17.8,14.02,12.03
11.3,17.78,14,12.02
11.29,17.75,14.07,12.01
11.29,17.74,14.05,11.98
11.31,17.7,14.04,11.96
11.32,17.97,14.04,11.95
11.34,17.89,14.3,11.94
11.35,17.82,14.2,11.93
11.34,17.76,14.14,11.93
11.35,17.72,14.08,11.94
11.32,17.72,14.06,11.94
11.33,17.71,14.04,11.94
11.32,17.7,14.02,11.92
11.33,17.97,14.01,11.92
11.35,17.89,14,11.92
11.34,17.82,13.99,12.21
11.32,17.79,13.99,12.13
11.33,17.77,13.97,12.07
11.62,17.76,13.97,12.04
11.52,17.72,13.98,12.02
11.46,17.71,14.27,12
11.4,17.97,14.17,11.97
11.39,17.87,14.11,11.97
11.38,17.82,14.06,11.93
11.38,17.76,14.03,11.93
11.36,17.74,14,11.93
11.34,17.71,14,11.94
11.35,17.7,14,11.94
11.33,17.96,13.99,11.92
11.32,17.87,13.98,11.91
11.33,17.8,13.99,11.92
11.33,17.76,13.98,11.92
11.33,17.72,14.26,11.91
11.32,17.72,14.16,12.18
11.33,17.69,14.11,12.1
11.29,17.7,14.05,12.06
11.27,17.97,14.04,12.02
11.24,17.88,14.03,11.99
11.25,17.8,14.01,11.98
11.27,17.76,14.02,11.96
11.55,17.73,14.01,11.95
11.48,17.7,14,11.95
11.42,17.68,13.99,11.95
11.38,17.68,13.99,11.94
11.32,17.96,13.98,11.95
11.31,17.86,14,11.94
11.31,17.81,14.26,11.92
11.3,24.16,14.15,11.92
11.29,22.1,14.1,11.91
11.29,20.77,14.08,11.92
11.28,19.84,14.05,12.2
11.27,19.17,14.03,12.12
11.27,18.99,14,12.07
11.27,18.6,14,12.02
11.26,18.34,13.99,11.99
11.27,18.14,13.98,11.96
11.29,17.98,13.97,11.93
11.3,17.89,13.96,11.94
11.3,17.84,14.23,11.94
11.3,18.07,14.15,11.94
11.28,17.94,14.08,11.94
11.28,17.87,14.05,11.93
11.58,17.82,14.01,11.93
11.49,17.77,14,11.93
11.44,17.75,14.01,11.93
11.37,17.73,14.01,11.93
11.34,17.71,14,11.92
11.31,17.96,14,11.93
11.31,17.88,13.99,12.2
11.3,17.81,13.98,12.13
11.31,17.78,13.98,12.08
11.3,17.76,13.99,12.03
11.31,17.73,14.24,12
11.3,17.72,14.16,11.99
11.29,17.7,14.1,11.96
11.25,17.96,14.07,11.95
11.19,17.87,14.03,11.94
11.19,17.82,14,11.93
11.21,17.77,13.98,11.91
11.24,17.74,13.99,11.92
11.25,17.71,13.99,11.92
11.25,17.69,14,11.92
11.29,17.68,14.02,11.91
11.28,17.94,14.03,11.92
11.29,17.85,14.3,11.93
11.57,17.79,14.2,11.92
11.44,17.74,14.13,12.19
11.38,17.72,14.1,12.12
11.36,17.7,14.07,12.06
11.34,17.67,14.06,12.01
11.32,17.92,14.02,11.98
11.3,17.84,14.02,11.97
11.31,17.75,14,11.97
11.31,17.71,13.99,11.95
11.32,17.68,14,11.95
11.31,17.67,13.98,11.95
11.31,17.66,13.99,11.93
11.31,17.64,13.97,11.92
11.31,17.9,14.27,11.92
11.31,17.82,14.19,11.93
11.29,17.77,14.13,11.91
11.3,17.7,14.08,11.91
11.28,17.68,14.05,11.92
11.29,17.68,14.04,11.93
11.29,17.66,14.03,12.19
11.29,17.66,14.03,12.1
11.29,17.91,14.03,12.05
11.58,17.83,14.04,12
11.5,17.75,14.02,11.97
11.45,17.7,14.01,11.95
11.39,17.67,14.27,11.94
11.35,17.64,14.19,11.94
11.33,17.62,14.14,11.94
11.32,17.6,14.08,11.92
11.3,17.86,14.06,11.91
11.27,17.79,14.04,11.92
11.27,17.74,14.03,11.92
11.28,17.71,14.01,11.91
11.28,17.67,14,11.92
11.29,17.64,14,11.92
11.29,17.61,13.99,11.91
11.29,17.86,13.98,12.2
11.3,17.78,13.98,12.11
11.28,17.73,14,12.05
11.27,17.69,14.31,12
11.28,17.65,14.22,11.97
11.3,17.62,14.16,11.95
11.28,17.6,14.11,11.95
11.28,17.59,14.07,11.94
11.58,17.86,14.05,11.92
11.48,17.77,14.03,11.92
11.44,17.7,13.99,16.58
11.4,17.66,13.98,15.16
11.37,17.63,13.98,14.2
11.34,17.63,13.99,13.52
11.33,17.61,13.98,13.05
11.34,17.6,14.25,12.71
11.33,17.85,14.17,12.48
11.32,17.76,14.12,12.32
11.31,17.71,14.07,12.48
11.3,17.66,14.04,12.3
11.31,17.61,14.01,12.18
11.31,17.59,13.98,12.11
11.3,17.58,13.98,12.07
11.3,17.83,13.97,12.02
11.3,17.74,13.98,12
11.3,17.68,13.96,11.97
11.3,17.62,13.94,11.95
11.3,17.6,13.94,11.95
11.3,17.58,13.95,11.95
11.3,17.57,14.24,11.95
11.3,17.55,14.13,11.94
11.59,17.82,14.08,11.92
11.48,17.74,14.05,11.92
11.43,17.66,14.02,11.91
11.39,17.63,13.99,11.91
11.35,17.6,13.97,11.92
11.31,17.57,13.96,12.2
11.29,17.55,13.96,12.11
11.27,17.53,13.95,12.06
11.23,17.79,13.96,12
11.25,17.71,13.95,11.97
11.24,17.65,14.21,11.98
11.25,17.61,14.13,11.97
11.28,17.58,14.07,11.96
11.29,17.55,14.03,11.95
11.31,17.53,13.99,11.95
11.3,17.53,13.96,11.93
11.31,17.78,13.94,11.93
11.33,17.69,13.95,11.92
11.32,17.63,13.94,11.93
11.31,17.59,13.94,11.92
11.29,17.55,13.94,11.91
11.29,17.53,13.94,11.91
11.58,17.52,13.93,12.18
11.48,17.49,13.92,12.1
11.43,17.75,14.19,12.04
11.37,17.67,14.11,12.02
11.35,17.61,14.06,12.01
11.33,17.53,14.02,11.99
11.31,17.52,13.98,11.98
11.3,17.51,13.96,11.98
11.29,17.49,13.96,11.96
11.28,17.74,13.93,11.94
11.27,17.66,13.94,11.93
11.27,17.6,13.94,11.93
11.27,17.55,13.93,11.92
11.27,17.52,13.91,11.93
11.29,17.51,14.18,11.94
11.27,17.5,14.09,11.94
11.28,17.48,14.04,11.93
11.27,17.72,13.98,11.93
11.29,17.64,13.96,12.2
11.3,17.57,13.94,12.13
11.3,17.52,13.92,12.07
11.29,17.48,13.92,12.02
11.58,17.49,13.91,12
11.5,17.48,13.9,11.97
11.43,17.48,13.89,11.95
11.4,17.73,13.9,11.92
11.37,17.63,13.88,11.92
11.34,17.56,13.86,11.91
11.33,17.52,14.15,11.91
11.32,17.49,14.06,11.92
11.3,17.46,13.99,11.91
11.28,17.44,13.95,11.9
11.28,17.68,13.93,11.9
11.29,17.6,13.91,11.89
11.28,17.54,13.89,11.9
11.27,17.51,13.89,11.9
11.28,17.49,13.88,12.17
11.27,17.46,13.87,12.09
11.28,17.45,13.87,12.03
11.25,17.45,13.86,12
11.26,17.7,14.11,11.96
11.26,17.6,14.03,11.95
11.27,17.55,13.98,11.96
11.26,17.5,13.93,11.95
11.26,17.47,13.91,11.94
11.56,17.44,13.88,11.93
11.49,17.42,13.87,11.92
11.4,17.42,13.85,11.91
11.33,17.66,13.84,11.89
11.33,17.57,13.84,11.9
11.31,17.52,13.83,11.9
11.3,17.48,13.84,11.88
11.31,17.44,13.81,11.89
11.31,17.41,13.81,11.9
11.29,17.4,14.1,12.17
11.28,17.65,14.01,12.09
11.28,17.58,13.95,12.03
11.28,17.53,13.92,11.98
11.29,17.49,13.89,11.96
11.29,17.46,13.87,11.94
11.28,17.44,13.85,11.92
11.29,17.42,13.86,11.92
11.28,17.42,13.87,11.9
11.28,17.67,13.87,11.9
11.3,17.58,13.86,11.88
11.24,17.5,13.86,11.87
11.23,17.46,14.11,11.87
11.24,17.42,14.02,11.86
11.55,17.4,13.97,11.87
11.47,17.39,13.92,11.85
11.43,17.36,13.89,11.85
11.39,17.62,13.88,11.86
11.37,17.54,13.87,12.13
11.35,17.49,13.87,12.05
11.32,17.46,13.85,12
11.31,17.43,13.84,11.93
11.3,17.4,13.85,11.91
11.27,17.39,13.83,11.89
11.28,17.37,13.84,11.89
11.27,17.63,13.82,11.88
11.28,17.55,14.08,11.87
11.28,17.47,14,11.87
11.28,17.43,13.95,11.87
11.27,17.39,13.93,11.86
11.25,17.34,13.89,11.86
11.26,22.65,13.87,11.86
11.26,21.07,13.86,11.85
11.26,20.17,13.84,11.87
11.26,19.32,13.83,11.88
11.27,18.71,13.8,12.13
11.55,18.3,13.8,12.03
11.47,18.01,13.81,11.97
11.41,17.8,14.06,11.92
11.38,17.66,13.97,11.9
11.34,17.82,13.91,11.87
11.32,17.68,13.89,11.85
11.29,17.59,13.85,11.86
11.28,17.51,13.83,11.84
11.28,17.44,13.82,11.85
11.27,17.41,13.8,11.85
11.28,17.36,13.78,11.84
11.28,17.36,13.76,11.84
11.27,17.61,13.75,11.84
11.26,17.5,13.76,11.83
11.26,17.43,13.78,11.83
11.26,17.37,13.77,11.83
11.26,17.36,14.04,11.82
11.25,17.36,13.97,12.08
11.26,17.33,13.88,12
11.24,17.34,13.86,11.93
11.24,17.57,13.83,11.89
11.23,17.51,13.8,11.87
11.49,17.44,13.78,11.85
11.42,17.4,13.78,11.83
11.38,17.38,13.79,11.82
11.3,17.35,13.78,11.84
11.28,17.35,13.79,11.82
11.28,17.59,13.79,11.81
11.26,17.49,14.04,11.78
11.26,17.42,13.95,11.79
11.22,17.37,13.88,11.77
11.22,17.35,13.84,11.77
11.21,17.31,13.81,11.77
11.2,17.32,13.78,11.76
11.22,17.33,13.76,11.76
11.22,17.57,13.76,12.02
11.21,17.49,13.75,11.94
11.21,17.43,13.73,11.89
11.22,17.39,13.74,11.86
11.22,17.36,13.74,11.83
11.21,17.31,13.72,11.83
11.23,17.3,13.7,11.81
11.21,17.3,13.97,11.79
11.21,17.53,13.89,11.77
11.23,17.44,13.84,11.79
11.49,17.37,13.82,11.78
11.41,17.34,13.79,11.77
11.36,17.34,13.76,11.77
11.32,17.31,13.75,11.75
11.28,17.31,13.74,11.75
11.27,17.3,13.72,11.74
11.26,17.55,13.71,11.75
11.25,17.39,13.73,11.76
11.26,17.35,13.73,12.03
11.22,17.32,13.98,11.95
11.18,17.3,13.9,11.88
11.19,17.28,13.84,11.84
11.21,17.29,13.79,11.82
11.2,17.54,13.76,11.8
11.2,17.46,13.73,11.77
11.2,17.41,13.71,11.76
11.19,17.37,13.7,11.75
11.21,17.34,13.71,11.73
11.21,17.31,13.71,11.73
11.16,17.28,13.7,11.73
11.17,17.27,13.7,11.73
11.18,17.52,13.69,11.74
11.47,17.44,13.7,11.73
11.38,17.39,13.96,11.73
11.33,17.35,13.87,11.74
11.28,17.33,13.79,12.03
11.25,17.3,13.75,11.94
11.23,17.29,13.74,11.85
11.21,17.27,13.73,11.83
11.18,17.53,13.72,11.77
11.18,17.44,13.7,11.77
11.16,17.39,13.69,11.79
11.18,17.37,13.67,11.76
11.17,17.34,13.68,11.75
11.17,17.32,13.7,11.75
11.18,17.31,13.95,11.73
11.18,17.3,13.86,11.72
11.18,17.5,13.8,11.72
11.17,17.43,13.77,11.71
11.17,17.37,13.74,11.7
11.17,17.34,13.73,11.69
11.17,17.33,13.71,11.69
11.16,17.3,13.69,11.72
11.15,17.28,13.67,11.99
11.41,17.53,13.68,11.91
11.34,17.45,13.68,11.82
11.28,17.4,13.66,11.78
11.24,17.36,13.66,11.75
11.23,17.33,13.65,11.73
11.19,17.3,13.91,11.73
11.16,17.27,13.82,11.72
11.17,17.23,13.77,11.71
11.16,17.46,13.72,11.7
11.17,17.4,13.7,11.69
11.15,17.35,13.68,11.69
11.13,17.32,13.67,11.7
11.14,17.3,13.65,11.69
11.15,17.28,13.65,11.7
11.17,17.22,13.64,11.69
11.16,17.23,13.63,11.68
11.14,17.49,13.61,11.66
11.13,17.42,13.88,11.92
11.14,17.36,13.8,11.84
11.12,17.33,13.74,11.78
11.1,17.3,13.71,11.75
11.09,17.29,13.68,11.73
11.08,17.28,13.67,11.71
11.37,17.27,13.65,11.68
11.28,17.5,13.64,11.67
11.22,17.43,13.64,11.68
11.18,17.32,13.62,11.67
11.16,17.3,13.62,11.66
11.16,17.26,13.63,11.65
11.13,17.26,13.63,11.65
11.13,17.25,13.63,11.65
11.12,17.5,13.87,11.65
11.13,17.44,13.8,11.67
11.12,17.38,13.74,11.65
11.12,17.33,13.7,11.93
11.11,17.31,13.67,11.84
11.12,17.29,13.66,11.78
11.13,17.27,13.65,11.74
11.13,17.27,13.64,11.7
11.12,17.51,13.63,11.68
11.11,17.43,13.63,11.67
11.12,17.36,13.63,11.67
11.1,17.33,13.63,11.67
11.09,17.29,13.89,11.66
11.09,17.29,13.8,11.64
11.37,17.28,13.74,11.66
11.29,17.26,13.71,11.64
11.24,17.52,13.68,11.64
11.18,17.44,13.66,11.64
11.15,17.38,13.65,11.64
11.14,17.34,13.64,11.63
11.12,17.29,13.6,11.63
11.12,17.27,13.62,11.89
11.11,17.28,13.62,11.79
11.1,17.52,13.61,11.73
11.1,17.44,13.6,11.69
11.1,17.39,13.6,11.66
11.1,17.35,13.87,11.65
11.07,17.3,13.8,11.63
11.08,17.29,13.73,11.62
11.09,17.27,13.68,11.61
11.09,17.24,13.66,11.62
11.05,17.5,13.63,11.62
11.05,17.42,13.62,11.63
11.07,17.38,13.61,11.6
11.07,17.33,13.61,11.61
11.07,17.3,13.61,11.61
11.08,17.29,13.6,11.6
11.36,17.27,13.61,11.6
11.29,17.26,13.87,11.61
11.22,17.5,13.78,11.87
11.18,17.42,13.73,11.79
11.15,17.37,13.69,11.73
11.13,17.34,13.66,11.67
11.11,17.31,13.62,11.67
11.11,17.3,13.61,11.65
11.1,17.28,13.61,11.63
11.1,17.26,13.61,11.61
11.09,17.5,13.61,11.59
11.09,17.44,13.59,11.58
11.07,17.38,13.58,11.58
11.07,17.35,13.58,11.57
11.08,17.33,13.59,11.58
11.08,17.29,13.87,11.57
11.06,17.28,13.78,11.58
11.06,17.53,13.73,11.59
11.07,17.44,13.69,11.59
11.09,17.37,13.64,11.59
11.08,17.33,13.63,11.84
11.07,17.31,13.62,11.76
11.35,17.3,13.61,11.7
11.27,17.26,13.6,11.64
11.2,17.26,13.6,11.62
11.17,17.5,13.6,11.6
11.13,17.4,13.58,11.6
11.11,17.37,13.84,11.59
11.09,17.33,13.74,11.57
11.08,17.31,13.7,11.57
11.06,17.29,13.67,11.55
11.04,17.25,13.64,11.55
11.03,17.26,13.62,11.55
11.02,17.51,13.59,11.56
11,17.44,13.58,11.56
11.02,17.39,13.58,11.56
11.03,17.35,13.58,11.54
11.04,17.31,13.59,11.53
11.01,17.26,13.59,11.8
11.03,17.27,13.59,11.71
11.04,17.27,13.59,11.65
11.03,17.52,13.85,11.63
11.03,17.44,13.77,11.61
11.04,17.39,13.72,11.6
11.02,17.35,13.68,11.58
11.32,17.32,13.65,11.59
11.21,17.3,13.63,11.58
11.14,17.28,13.6,11.56
11.11,17.52,13.58,11.55
11.08,17.45,13.58,11.55
11.03,17.4,13.58,11.54
11.02,17.36,13.57,11.54
11.04,17.33,13.56,11.53
11.04,17.31,13.82,11.54
11.04,17.3,13.74,11.53
11.05,17.28,13.68,11.8
11.04,17.53,13.64,11.71
11.05,17.46,13.62,11.66
11.06,17.39,13.59,11.61
11.06,17.34,13.58,11.59
11.05,17.31,13.58,11.58
11.04,17.3,13.58,11.56
11.04,17.27,13.58,11.54
11.02,17.28,13.57,11.54
11.02,17.52,13.57,11.53
11.02,17.45,13.55,11.52
11.02,17.39,13.55,11.51
11.31,17.35,13.79,11.52
11.22,17.33,13.71,11.51
11.16,17.31,13.67,11.52
11.11,17.29,13.62,11.52
11.07,17.55,13.6,11.51
11.06,17.47,13.59,11.51
11.05,17.39,13.55,11.77
11.04,17.36,13.55,11.71
11.04,17.32,13.54,11.63
11.03,17.3,13.54,11.59
11,17.29,13.53,11.58
10.99,17.27,13.53,11.55
11,17.52,13.79,11.54
11,17.44,13.71,11.53
10.98,17.36,13.67,11.51
10.97,17.33,13.64,11.51
11,17.29,13.63,11.52
11.01,17.28,13.58,11.51
11,17.27,13.58,11.5
11,17.24,13.56,11.51
11,17.47,13.55,11.53
11,17.4,13.56,11.52
11.28,17.35,13.56,11.51
11.2,17.31,13.54,11.51
11.12,17.28,13.54,11.77
11.07,17.27,13.53,11.68
11.03,17.28,13.79,11.62
11.02,17.27,13.7,11.59
11,17.53,13.64,11.54
10.99,17.45,13.62,11.53
10.94,17.39,13.57,11.51
10.92,17.27,13.56,11.51
10.9,17.22,13.56,11.51
10.92,17.24,13.54,11.51
10.94,17.24,13.53,11.5
10.92,17.51,13.54,11.5
10.94,17.44,13.54,11.49
10.96,17.39,13.54,11.5
10.96,17.34,13.79,11.48
10.95,17.32,13.7,11.5
10.98,17.31,13.66,11.5
10.96,17.28,13.63,11.49
10.96,17.23,13.59,11.75
10.95,17.49,13.57,11.67
10.94,17.42,13.55,11.62
11.22,17.38,13.55,11.59
11.15,17.34,13.55,11.55
11.08,17.3,13.55,11.52
11.05,17.29,13.55,11.51
11.01,17.28,13.55,11.51
10.98,17.24,13.55,11.5
10.95,17.5,13.53,11.5
10.96,17.42,13.8,11.49
10.97,17.38,13.72,11.48
10.96,17.35,13.68,11.49
10.97,17.32,13.64,11.47
10.96,17.3,13.61,11.47
10.96,17.29,13.6,11.47
10.97,17.29,13.58,11.48
10.98,17.54,13.56,11.73
10.97,17.43,13.56,11.67
10.97,17.38,13.52,11.61
10.97,17.33,13.49,11.57
10.95,17.31,13.5,11.53
10.94,17.3,13.76,11.5
10.95,17.26,13.69,11.49
10.96,17.52,13.64,11.47
11.23,17.43,13.61,11.47
11.14,17.37,13.6,11.47
11.08,17.33,13.58,11.46
11.03,17.29,13.55,11.46
10.98,17.28,13.53,11.47
10.97,17.26,13.53,11.45
10.96,17.26,13.53,11.45
10.95,17.5,13.53,11.46
10.92,17.42,13.53,11.46
10.94,17.37,13.54,11.46
10.92,17.33,13.54,11.71
10.91,17.28,13.79,11.64
10.91,17.28,13.72,11.59
10.92,17.27,13.66,11.55
10.91,17.27,13.63,11.52
10.92,17.51,13.62,11.5
10.91,17.44,13.6,11.49
10.9,17.38,13.58,11.49
10.91,17.33,13.58,11.48
10.91,17.29,13.57,11.47
10.91,17.28,13.55,11.47
10.94,17.27,13.54,11.47
11.21,17.26,13.53,11.46
11.12,17.52,13.77,11.46
11.06,17.44,13.7,11.46
11.02,17.38,13.66,11.45
11,17.34,13.6,11.45
10.96,17.31,13.58,11.45
10.94,17.3,13.56,11.71
10.95,17.28,13.56,11.63
10.92,17.52,13.56,11.58
10.91,17.42,13.56,11.54
10.91,17.35,13.55,11.51
10.91,17.32,13.55,11.49
10.9,17.3,13.55,11.49
10.89,17.27,13.54,11.47
10.9,17.27,13.55,11.47
10.89,17.27,13.79,11.46
10.88,17.52,13.7,11.47
10.9,17.42,13.66,11.48
10.88,17.37,13.61,11.48
10.87,17.34,13.6,11.48
10.85,17.3,13.59,11.49
10.86,17.29,13.58,11.48
10.88,17.28,13.58,11.47
11.16,17.26,13.55,11.72
11.07,17.52,13.56,11.66
11,17.44,13.54,11.6
10.95,17.38,13.53,11.54
10.92,17.33,13.8,11.52
10.92,17.3,13.72,11.5
10.91,17.27,13.66,11.48
10.9,17.27,13.63,11.47
10.89,17.51,13.61,11.45
10.88,17.43,13.59,11.45
10.88,17.39,13.58,11.46
10.87,17.35,13.58,11.45
10.87,17.32,13.57,11.46
10.85,17.29,13.53,11.45
10.86,17.25,13.52,11.46
10.88,17.24,13.54,11.45
10.89,17.45,13.54,11.44
10.89,17.38,13.53,11.44
10.88,17.33,13.8,11.7
10.88,17.3,13.72,11.61
10.9,17.28,13.68,11.57
10.88,17.28,13.62,11.53
11.15,17.26,13.61,11.51
11.07,17.27,13.58,11.49
11.01,17.52,13.55,11.48
10.97,17.42,13.54,11.47
17.52,17.35,13.52,11.45
15.52,17.3,13.52,11.45
14.13,17.29,13.54,11.45
13.1,17.28,13.55,11.45
12.43,17.26,13.8,11.45
11.92,17.26,13.73,11.44
11.59,17.5,13.67,11.44
11.35,17.42,13.64,11.44
11.2,17.38,13.61,11.46
11.1,17.34,13.59,11.45
11.04,17.29,13.58,11.73
10.99,17.27,13.57,11.64
10.94,17.27,13.57,11.59
10.91,17.2,13.56,11.54
10.87,17.47,13.56,11.5
10.86,17.39,13.55,11.49
10.85,17.29,13.54,11.48
10.86,17.25,13.54,11.47
11.13,17.23,13.8,11.46
11.04,17.23,13.73,11.46
10.97,17.2,13.68,11.45
10.93,17.47,13.63,11.45
10.91,17.4,13.61,11.46
10.89,17.36,13.59,11.46
10.89,17.33,13.57,11.46
10.87,17.3,13.57,11.45
10.88,17.28,13.56,11.45
10.88,17.28,13.54,11.44
10.88,17.26,13.55,11.71
10.88,17.49,13.55,11.63
10.87,17.43,13.79,11.57
10.87,17.37,13.72,11.54
10.87,17.33,13.67,11.51
10.85,17.3,13.63,11.48
10.87,17.28,13.61,11.47
10.88,17.26,13.58,11.45
10.86,17.26,13.57,11.44
10.82,17.5,13.55,11.44
10.83,17.38,13.54,11.43
10.84,17.34,13.55,11.43
10.84,17.31,13.55,11.43
11.1,17.29,13.55,11.43
11.02,17.27,13.56,11.43
10.97,17.26,13.56,11.43
10.93,17.52,13.82,11.45
10.91,17.44,13.74,11.46
10.9,17.35,13.69,11.71
10.89,17.32,13.65,11.62
10.87,17.3,13.6,11.56
10.86,17.27,13.59,11.54
10.86,17.26,13.58,11.51
10.86,17.26,13.57,11.49
10.87,17.51,13.55,11.47
10.88,17.44,13.55,11.47
10.87,17.38,13.54,11.46
10.86,17.33,13.55,11.45
10.87,17.31,13.81,11.45
10.86,17.3,13.73,11.45
10.86,17.28,13.68,11.45
10.85,17.27,13.65,11.45
10.85,17.52,13.62,11.45
10.83,17.44,13.6,11.45
10.84,17.38,13.59,11.44
10.83,17.34,13.58,11.7
11.09,17.24,13.57,11.62
11.02,17.26,13.56,11.56
10.97,17.26,13.57,11.52
10.93,17.52,13.57,11.49
10.9,17.45,13.53,11.49
10.88,17.35,13.53,11.47
10.88,17.32,13.8,11.47
10.88,17.28,13.73,11.45
10.86,17.28,13.68,11.44
10.86,17.28,13.64,11.44
10.86,17.25,13.61,11.45
10.84,17.51,13.59,11.46
10.85,17.44,13.58,11.47
10.87,17.38,13.57,11.46
10.86,17.32,13.57,11.47
